Date,Open,High,Low,Close,Adj Close,Volume
2023/11/7,45.719002,46.217999,45.158001,45.955002,45.945034,343165000
2023/11/8,46.099998,46.867001,45.967999,46.574001,46.563896,346719000
2023/11/9,47.466999,48.23,46.75,46.950001,46.939816,540496000
2023/11/10,47.5,48.472,47.283001,48.334999,48.324512,421245000
2023/11/13,48.32,49.116001,48.098999,48.619999,48.609451,384136000
2023/11/14,49.68,49.834,49.040001,49.655998,49.645226,416954000
2023/11/15,49.935001,49.959999,48.200001,48.888,48.877392,475497000
2023/11/16,48.679001,49.525002,48.330002,49.48,49.469269,339756000
2023/11/17,49.523998,49.716999,49.007,49.298,49.287308,325205000
2023/11/20,49.312,50.548,49.181,50.409,50.398064,414120000
2023/11/21,50.125999,50.516998,49.222,49.944,49.933167,565747000
2023/11/22,49.852001,50.334999,47.689999,48.716,48.705429,899420000
2023/11/24,48.470001,48.921001,47.744999,47.776001,47.765636,294645000
2023/11/27,47.799999,48.529999,47.652,48.242001,48.231533,395662000
2023/11/28,48.236,48.323002,47.473,47.820999,47.810623,401491000
2023/11/29,48.379002,48.762001,47.860001,48.139999,48.129555,382005000
2023/11/30,48.023998,48.110001,46.422001,46.77,46.759853,526247000
2023/12/1,46.525002,47.200001,46.187,46.764999,46.754852,369317000
2023/12/4,46.077,46.077,45.009998,45.509998,45.500122,437543000
2023/12/5,45.466,46.599998,45.271,46.566002,46.55999,371718000
2023/12/6,47.215,47.387001,45.411999,45.502998,45.497128,380590000
2023/12/7,45.700001,46.629002,45.604,46.596001,46.589989,350823000
2023/12/8,46.595001,47.741001,46.549999,47.506001,47.49987,359224000
2023/12/11,47.491001,47.530998,45.830002,46.626999,46.620983,509728000
2023/12/12,46.046001,47.666,46.046001,47.657001,47.650852,372387000
2023/12/13,47.629002,48.594002,47.608002,48.088001,48.081799,447792000
2023/12/14,48.389999,48.669998,47.422001,48.349998,48.343758,391232000
2023/12/15,48.194,49.403999,48.119999,48.889999,48.88369,479948000
2023/12/18,49.400002,50.432999,49.150002,50.077,50.070538,412587000
2023/12/19,49.424,49.700001,48.895,49.604,49.597599,464444000
2023/12/20,49.654999,49.999001,48.098,48.111,48.10479,397894000
2023/12/21,48.811001,49.095001,48.418999,48.990002,48.983681,300425000
2023/12/22,49.195,49.382999,48.466999,48.830002,48.823704,252507000
2023/12/26,48.967999,49.599998,48.959999,49.278999,49.27264,244200000
2023/12/27,49.511002,49.68,49.084999,49.417,49.410622,233648000
2023/12/28,49.643002,49.883999,49.411999,49.521999,49.51561,246587000
2023/12/29,49.813,49.997002,48.750999,49.521999,49.51561,389293000
2024/1/2,49.243999,49.294998,47.595001,48.167999,48.161785,411254000
2024/1/3,47.485001,48.183998,47.32,47.569,47.562862,320896000
2024/1/4,47.766998,48.5,47.507999,47.998001,47.99181,306535000
